text,emotion
Aaj itna heavy lag raha hai ki khud se baat karne ki bhi himmat nahi,sad
Uske saath hone par bhi dil thoda unsure sa rehta hai,fear
Dard ke beech thoda sa hope bhi mehsoos ho raha hai,happy
Uski ek smile ne tension ke beech bhi hasi nikal di,fun
Samajhne ki koshish na hone par gussa aaya,angry
Uska saath bina solve kiye bhi comfort deta hai,love
Khud ke emotions itne layered honge ye expect nahi tha,surprise
Rona aa raha hai par aansu nahi nikal rahe,sad
Usse close hote hue bhi door ho jaane ka darr lagta hai,fear
Aaj thoda sa khud ko accept kar paaya,happy
Dark phase ke beech ek silly joke funny laga,fun
Khud ko ignore karte rehna ab gussa dilata hai,angry
Uski care shor ke bina bhi mehsoos hoti hai,love
Healing itni slow hogi ye socha nahi tha,surprise
Dil toot ke bhi chal raha hai,sad
Khush rehna seekh lunga ya nahi ye uncertainty hai,fear
Aaj pain ke beech bhi thodi shanti mili,happy
Old memories ko yaad karke halka sa fun feel hua,fun
Apni limits cross kar chuka hoon aur gussa aa raha hai,angry
Uske saath safe feel karna rare experience hai,love
Itna kuch feel karna ek saath unexpected hai,surprise
Thakaan sirf body ki nahi hoti ye aaj samajh aaya,sad
Close hone ka matlab lose ho jaana ho sakta hai ye darr hai,fear
Aaj khud ke liye khada ho paaya,happy
Therapy jaisi baat cheet surprisingly fun thi,fun
Bar bar strong rehne ka pressure gussa deta hai,angry
Uski patience mujhe slow heal karne deti hai,love
Emotions ka itna mix hona shocking hai,surprise
Dil chahta hai sab chhod du par hope rok leta hai,sad
Attachment ka weight thoda scary lagta hai,fear
Aaj pain ko accept kar paaya,happy
Heavy din ke beech thoda sa laughter zaroori tha,fun
Logon ka minimize karna gussa dila deta hai,angry
Uska bina judgement sunna priceless hai,love
Healing straight line nahi hoti ye realize hua,surprise
Kabhi lagta hai main hi broken hoon,sad
Khud ko open karna risky lagta hai,fear
Aaj thoda emotional control feel hua,happy
Random baatein unexpectedly fun rahi,fun
Bina samjhe advice dena irritate karta hai,angry
Uska emotional presence hi kaafi hai,love
Khud ke emotions itne complex honge ye nahi socha tha,surprise
Andar se empty feel hota hai par bahar normal dikhta hoon,sad
Close log bhi chhod sakte hain ye thought dara deta hai,fear
Aaj khud ko thoda forgive kar paaya,happy
Crying ke baad thoda sa relief funny lagta hai,fun
Khud se jhoot bolna ab gussa deta hai,angry
Uski consistency mujhe grounded rakhti hai,love
Pain ke saath growth aayegi ye surprise tha,surprise
Healing slow hai par real hai,sad
Khushi stable rahegi ya nahi ye darr rehta hai,fear
Aaj bina guilt ke thoda khush hua,happy
Serious baat ke beech hasi aa jaana fun laga,fun
Unheard feel hona frustration deta hai,angry
Uska care pressure nahi deta,love
Emotional clarity achanak se aa gayi,surprise
Kabhi kabhi lagta hai bas chup rehna hi best hai,sad
Vulnerable hona scary lagta hai,fear
Aaj khud ko thoda time de paaya,happy
Chhoti wins celebrate karna fun hota hai,fun
Bar bar misunderstood hona gussa deta hai,angry
Uska saath bina condition ke milta hai,love
Itna survive kar paaya hoon ye shocking hai,surprise
Dil bhara hua hai par wajah explain karna mushkil lag raha hai,sad
Aaj thoda sa control wapas aata mehsoos hua,happy
Future ke baare mein sochte hi mann uneasy ho jaata hai,fear
Doston ke saath pointless baatein surprisingly relaxing thi,fun
Bina sune judge kiye jaane par irritation badh gayi,angry
Uski chhoti si concern ne dil ko halka kar diya,love
Achaanak itni clarity milna unexpected tha,surprise
Khud ko strong dikhate dikhate thak gaya hoon,sad
Aaj khud par thoda bharosa wapas aaya,happy
Failure repeat hone ka khayal hi dara deta hai,fear
Routine se hatkar ki gayi cheez kaafi fun rahi,fun
Bar bar galat samjhe jaane par gussa aaya,angry
Uske saath silence bhi meaningful lagti hai,love
Jo socha nahi tha wahi realize ho gaya,surprise
Kabhi kabhi lagta hai jaise sab kuch slow ho gaya ho,sad
Aaj bina reason halka sa khush mehsoos ho raha hai,happy
Logon ke beech hote hue bhi insecurity lagti hai,fear
Chhoti si win par celebrate karna acha laga,fun
Apni boundaries cross hote dekh gussa aana normal hai,angry
Uska patiently sunna mujhe bohot special feel karata hai,love
Ek simple si baat ne pura perspective badal diya,surprise
Thakaan sirf body ki nahi hoti,sad
Aaj khud ke saath honest reh paaya,happy
Unknown future ka weight thoda heavy lagta hai,fear
Beete pal yaad karke hasi aa gayi,fun
Bar bar control karne ki koshish se gussa hua,angry
Uski consistency mujhe safe feel karati hai,love
Unexpected appreciation ne mann bhar diya,surprise
Kabhi kabhi andar ka noise bahar se zyada loud hota hai,sad
Aaj ka din thoda balanced sa laga,happy
Risk lene ka khayal hi nervous kar deta hai,fear
Casual baaton mein hi real fun mil gaya,fun
Bina respect ke baat hona irritate karta hai,angry
Uska bina bole samajh jaana bohot rare hai,love
Sach saamne aane par silence chha gaya,surprise
Khud se hi expectations poori na kar paane ka dard alag hota hai,sad
Aaj thoda self-acceptance feel hua,happy
Galti repeat kar dene ka darr peecha nahi chhodta,fear
Purani photos dekh kar nostalgic fun hua,fun
Effort ko lightly lena gussa dila deta hai,angry
Uska support bina sawal ke milna priceless hai,love
Jo avoid kar raha tha wahi saamne aa gaya,surprise
Dil ko thoda rest chahiye,sad
Aaj mann thoda shaant sa lag raha hai,happy
Uncertainty ke saath chalna scary hota hai,fear
Friends ke saath bina topic ke baat karna fun hai,fun
Bar bar interrupt hona frustration badhata hai,angry
Uski presence hi kaafi lagti hai,love
Achaanak closure milna shocking tha,surprise
Kabhi kabhi lagta hai jaise main hi peeche reh gaya hoon,sad
Aaj khud ke efforts par thoda proud feel hua,happy
Logon ka opinion bohot overpowering lagta hai,fear
Unexpected joke ne pura mood lift kar diya,fun
Unfair comparison gussa aur insecurity dono deta hai,angry
Uska care bina condition ke hota hai,love
Ek line ne pura din change kar diya,surprise
Thoda sa lonely feel ho raha hai par bol nahi pa raha,sad
Aaj thoda emotionally stable lag raha hai,happy
Trust tootne ka darr sabse zyada lagta hai,fear
Light moments ne heavy din ko balance kiya,fun
Bina clarity ke decisions gussa dila dete hain,angry
Uski honesty mujhe attract karti hai,love
Achaanak clarity milna unexpected relief tha,surprise
Aaj bina bole hi sab kuch galat sa lag raha hai,sad
Subah ki chai aur thandi hawa ne mood fresh kar diya,happy
Sapne se uthte hi dil thoda ghabra sa gaya,fear
Class ke beech wali bakchodi kaafi entertaining thi,fun
Bar bar ignore hone par gussa aana natural hai,angry
Uska bina kahe samajh jaana bohot comforting hai,love
Achaanak purana dost mil jana unexpected tha,surprise
Kabhi kabhi smile ke peeche bohot kuch chhupa hota hai,sad
Aaj khud ke saath time bita ke acha laga,happy
Result open karne se pehle haath kaanp rahe the,fear
Lunch ke time itni hasi hui ki pet dard kar gaya,fun
Promises todna mujhe bohot irritate karta hai,angry
Uski presence hi kaafi sukoon de jaati hai,love
Jab truth pata chala toh dimag ghoom gaya,surprise
Mann toh hai par energy bilkul nahi bachi,sad
Aaj ka din kaafi productive raha,happy
Unknown jagah par akela rehna thoda unsafe lagta hai,fear
Doston ke saath random reels dekhna full fun tha,fun
Bar bar late aane par gussa control nahi hua,angry
Usne mujhe meri weakness ke saath accept kiya,love
Achaanak compliment milna bohot rare hota hai,surprise
Dil thak gaya hai par bol nahi pa raha,sad
Subah uth ke thoda motivated feel ho raha hai,happy
Exam paper dekhte hi heartbeat fast ho gayi,fear
Bus mein chal rahi baaton ne mood bana diya,fun
Bina reason blame milne par gussa aaya,angry
Uska khayal aate hi face par smile aa jaati hai,love
Jo expect nahi kiya tha wahi ho gaya,surprise
Aaj mann kisi se baat karne ka nahi hai,sad
Music aur rain ka combo perfect lag raha hai,happy
Raat ke sannate mein ajeeb sa darr lagta hai,fear
Office ke jokes ne kaam halka kar diya,fun
Kaam ke beech disturb hona bohot irritating hai,angry
Uski chhoti chhoti efforts dil jeet leti hain,love
Achaanak naam sunke shock lag gaya,surprise
Kabhi kabhi sab hone ke baad bhi empty feel hota hai,sad
Aaj khud se satisfied feel ho raha hai,happy
Unknown message dekh ke thoda panic ho gaya,fear
Purani yaadon par hasi aa rahi thi,fun
Repeated mistakes dekh ke gussa badh gaya,angry
Uska support mere liye bohot matter karta hai,love
Sudden plan change bilkul expected nahi tha,surprise
Aaj mann bohot heavy aur slow lag raha hai,sad
Chhoti si progress ne hope de di,happy
Lift band ho jaane se darr lagne laga,fear
Friends ke saath late night chat full fun thi,fun
Bar bar wahi topic uthne par gussa aa gaya,angry
Uski honesty mujhe bohot pasand hai,love
Jab sach saamne aaya toh aankhen khul gayi,surprise
Dil chahta hai thoda break le loon,sad
Aaj ka din surprisingly acha raha,happy
Unknown jagah par rasta bhatakne ka darr tha,fear
Random memes dekh ke hasi ruk nahi rahi,fun
Bina soche bole gaye words gussa dilate hain,angry
Uska trust mere liye priceless hai,love
Unexpected reply ne pura mood badal diya,surprise
Kabhi kabhi khud ko hi sambhalna padta hai,sad
Aaj thoda confident feel ho raha hai,happy
Exam ke pehle silence bohot scary hota hai,fear
Office gossip aaj kaafi entertaining thi,fun
Bar bar comparison hona gussa laata hai,angry
Uska care karna bohot natural lagta hai,love
Achaanak invitation milna shocking tha,surprise
Aaj bina kisi reason ke heavy sa feel ho raha hai,sad
Subah subah achi news mil gayi toh din ban gaya,happy
Achaanak light chali gayi aur thoda darr lagne laga,fear
Doston ke saath purani baatein yaad karke bohot hasi aayi,fun
Bar bar kaam atakne ki wajah se kaafi gussa aa raha hai,angry
Uski ek chhoti si message ne mood better kar diya,love
Jab result dekha toh aankhon par bharosa nahi hua,surprise
Kabhi kabhi khud se hi thak sa jaata hoon,sad
Aaj mirror mein khud ko dekh ke smile aa gayi,happy
Unknown number se call aaya toh thoda uneasy laga,fear
Office mein aaj kaafi chill mahol tha,fun
Network issue ke chakkar mein patience toot raha hai,angry
Uska bina bole mera khayal rakhna bohot special lagta hai,love
Party ka plan itna sudden hoga ye nahi socha tha,surprise
Dil chahta hai bas thoda shaant rehna,sad
Aaj ka workout complete karke acha feel ho raha hai,happy
Andheri gali se guzarte waqt thoda darr lag raha tha,fear
Chhoti si baat par itna hasna kaafi time baad hua,fun
Meeting itni lambi khinch gayi ki gussa aa gaya,angry
Uski awaaz sunte hi mann halka ho jaata hai,love
Gift ke andar jo nikla wo bilkul unexpected tha,surprise
Aaj purani yaadein bina bulaye aa rahi hain,sad
Khud ke liye time nikaal ke kaafi fresh feel ho raha hai,happy
Exam hall mein enter karte hi heartbeat tez ho gayi,fear
Doston ke jokes ne aaj ka din bana diya,fun
Bar bar same sawal puchhne par irritation ho rahi hai,angry
Usne sirf poocha “theek ho?” aur dil bhar aaya,love
Achaanak chhutti mil jaana bohot bada surprise tha,surprise
Kabhi kabhi sab hone ke baad bhi khush nahi lagta,sad
Aaj music sunte sunte kaam karna kaafi soothing tha,happy
Lift ruk jaane se thoda panic ho gaya,fear
Purani photos dekh ke hasi ruk hi nahi rahi,fun
Laptop hang hone par gussa control karna mushkil ho gaya,angry
Uska saath hona hi kaafi safe feel deta hai,love
Jab naam announce hua toh ekdum shock lag gaya,surprise
Aaj mann bohot heavy aur slow sa lag raha hai,sad
Chhoti si achievement ne kaafi motivation de di,happy
Unknown jagah par akela rehna thoda scary lagta hai,fear
Lunch break mein itni masti hui ki stress gayab ho gaya,fun
Bar bar disturb hone se kaam ka flow toot gaya,angry
Uski care bina bole samajh aa jaati hai,love
Achaanak visit ka plan sunke hairaan reh gaya,surprise
Kabhi kabhi khud ko samajhna hi mushkil lagta hai,sad
Aaj khud par thoda proud feel ho raha hai,happy
Raat ko ajeeb si awaaz sunke darr lag gaya,fear
Group call mein aaj full bakchodi chal rahi thi,fun
Late response dekh ke kaafi irritation hui,angry
Uska patience dekh ke respect aur badh gayi,love
Jo expect kiya tha usse bilkul alag nikla,surprise
Kal raat se dil bhaari lag raha hai,sad
Aaj ka din surprisingly kaafi acha gaya,happy
Jab usne achanak se mera naam liya toh main thoda ghabra gaya,fear
Doston ke saath bakchodi karke mann bilkul fresh ho gaya,fun
Bina reason ke gussa aa raha hai,angry
Uski ek simple si care ne dil ko bohot sukoon diya,love
Achaanak exam cancel hone ki news sunke shock ho gaya,surprise
Subah uthte hi lag raha tha jaise kuch galat hone wala hai,fear
Aaj coffee peete waqt kaafi peaceful feel ho raha tha,happy
Har cheez yaad aakar aankhen bhar jaati hain,sad
Office mein itna hasi mazaak hua ki pet dukhne laga,fun
Jab usne bina bole mera kaam kar diya toh dil pighal gaya,love
Internet band hote hi gussa control se bahar ho gaya,angry
Result itna acha aayega ye expect hi nahi kiya tha,surprise
Aaj mann bilkul nahi lag raha kisi bhi cheez mein,sad
Movie dekhte waqt itna hass raha tha ki pause karna pada,fun
Achaanak peeche se awaaz aayi toh dil zor se dhadak gaya,fear
Uske saath time spend karna hamesha special lagta hai,love
Traffic aur late hone ki wajah se kaafi chidh ho gayi,angry
Jab purana dost achanak mil gaya toh bohot surprise hua,surprise
Aaj ka weather aur mood dono kaafi ache lag rahe hain,happy
Kabhi kabhi bina reason hi lonely feel hone lagta hai,sad
Chhoti chhoti baaton par hasi aa rahi hai aaj,fun
Interview ka call aane tak ka wait kaafi scary tha,fear
Usne meri baat dhyaan se suni bas wahi kafi tha,love
Mobile hang hote hi patience khatam ho gaya,angry
Gift kholte hi jo nikla usse dekh ke aankhen khul gayi,surprise
Aaj apne kaam par thoda proud feel ho raha hai,happy
Raat ko overthinking itni badh jaati hai ki neend udd jaati hai,sad
Jab meme itna funny ho ki aansu aa jaaye,fun
Andhere mein akela chalna mujhe thoda uncomfortable lagta hai,fear
Uska bina bole saath rehna hi kaafi hai mere liye,love
Bar bar same cheez samjhani pad rahi hai aur gussa aa raha hai,angry
Achaanak birthday celebration plan ho jaana unexpected tha,surprise
Aaj khud ke saath time spend karke acha lag raha hai,happy
Kabhi kabhi sab kuch hone ke baad bhi khali sa lagta hai,sad
Group chat mein aaj full comedy chal rahi hai,fun
Doctor ki report dekhne se pehle kaafi darr lag raha tha,fear
Uski ek smile ne poora din bana diya,love
Kaam ka pressure itna hai ki irritation badh rahi hai,angry
Jab usne meri baat maan li toh kaafi surprise hua,surprise
Aaj mann halka aur positive lag raha hai,happy
 pata nahi kyun sab bekaar sa lag raha hai,sad
 chhoti chhoti baatein bhi irritate kar rahi hain,angry
 bina kisi wajah ke smile aa rahi hai,happy
"Bas yahi soch kar chain milta hai ki kal naya din hoga aur sab theek ho jayega, hope rehti hai dil mein",happy
"Pata nahi usse kya ho gaya, pehle itna pyaar karta tha ab baat karna pasand nahi",sad
"Chalo chalo chalo jaldi karo bohot late ho rahe hai, excitement mein pagal ho rahe hain sab",enthusiasm
"Kya bol diya tune??? Aisa kaise ho sakta hai, yakeen nahi ho raha mereko",surprise
"Bas tere bina jeena mushkil hai, har pal teri yaad satati hai",love
"Saala uski shakal dekhkar hi gussa aata hai, aisa lagta hai maarke rakh dunga",anger
"Aaj pata chala ki usne mere baare mein bohot bura socha, trust toot gaya yaar",hate
"Office mein promotion mil gaya, bohot mehnat ke baad finally result mila, excitement nahi ho rahi",happy
"Raste mein usse dekh liya, saamne se guzri toh dil ki dhadkan ruk si gayi",love
"Pichle hafte jo interview diya tha usme select ho gaya, visa mil gaya, ab sapna poora hoga",enthusiasm
"Yaar aaj toh maza aa gaya party mein, bohot time baad itna accha laga",happy
"Pata nahi kyun har cheez mein frustration ho rahi hai aaj kal, dil nahi lagta kisi bhi kaam mein",anger
"Uss se baat karke bohot acha laga, mann khush ho gaya jaise purane din laut aaye",happy
"Chalo aaj kuch naya try karte hain, excitement ho rahi hai dekhne ko ki kya hoga",enthusiasm
"Usne achanak se propose kar diya, mere pair zameen par nahi the, bilkul expect nahi kiya tha",surprise
"Usse dekhte hi dil dhadak gaya, lagta hai pyaar ho gaya",love
"Jab usne mere saath dhokha kiya toh dil toot gaya, aaj tak bharosa nahi aa raha",sad
"Roz roz ki yehi bakwas, bas gussa hi aata hai ab toh",anger
"Bohut din baad mila, pura din sath mein bitaya, dil garden garden ho gaya",happy
"Tujhse nafrat hai mujhe, kabhi samne mat aana",hate
"Aaj subah uthke dekha toh mausam bohot accha tha, hawa chal rahi thi, chai ka maza aa gaya",happy
"Finally mil gaya wo game jiska intezaar tha 2 saal se, ab pure din khelunga",happy
"College ka result aaya, first division aayi, papa ka face dekhte hi ruk gaye emotions",happy
"Yaar tere saath baithke bakwas karna bohot accha lagta hai, dost ho tum mere",happy
"Aaj gym mein naya record laga diya, pehle 50kg utha paata tha ab 70kg",happy
"Bachpan ka dost mil gaya instagram pe 10 saal baad, dono ki shadi ho chuki hai ab",happy
"Chai tapri pe baithke baarish dekhna, aur sath mein garam pakode, life is good",happy
"Usne bola ""I love you"" finally, 3 saal ka intezaar khatam hua",happy
"Mummy ne mere favourite dishes banayi aaj, puri family saath mein khana khaya",happy
"Office se jaldi chhuti mil gayi aaj, plan bana leta hoon kahi ghoomne ka",happy
"Job ka offer letter aaya uss company se jiska sapna dekha tha, haath kaap rahe hain",happy
"Tujhe dekhke accha lagta hai, bas dekhne ka mann karta hai",happy
"Train mein window seat mil gayi, pahad dekhne ka maza aayega",happy
"Papa proud feel kar rahe the mere result dekhke, wo smile dekhte hi sab kuch accha laga",happy
"Yaar aaj cricket match mein jeet gaye, last ball pe six mara",happy
"Bohot din baad family dinner plan hua hai, sab log aa rahe hain",happy
"Uski yaad aati hai lekin ab dard nahi hota, bas accha lagta hai sochke",happy
"Pet bharke khana khaya aaj, comfort food after long time",happy
"Friend ne surprise party di birthday pe, sab ne milkar cake khilaya",happy
"Aaj maine help kiya kisi ko, uski smile dekhke accha laga",happy
"Sunday hai, koi kaam nahi, bas aise hi time pass",happy
"Uska message aaya ""missing you"", dil garden garden ho gaya",happy
Bohot din baad baarish hui aur mitti ki khushboo aayi,happy
"Naya phone liya aaj, camera bohot accha hai, selfie mode mein busy hoon",happy
Chhoti si cheez hai lekin yaar dil khush ho gaya,happy
"Uski aankhon mein dekha toh duniya bhool gaya, kash wo samajh paati",love
"Har jagah uski shakal dikhti hai, pagal ho gaya hoon main",love
"Saath mein baith ke chai peeni hai, baatein karni hain raat bhar",love
"Uski awaz sunte hi din bana deti hai, miss you baby",love
"Tere bina adhoora hoon main, tu aaja bas",love
Pata nahi kyun par uski smile mere din ki shuruwat hai,love
"Uski yaad mein likhta hoon, uske liye gaane banaata hoon",love
"Maa ne jab puchha ""kaun hai wo?"" toh sharma gaya main",love
"Sapne mein aati hai roz, uthke uski photo dekhta hoon",love
"Uska haath pakd ke chalna, bas itni si khwahish hai",love
"Uski khamoshi bhi bohot kehti hai, use padhna seekh gaya hoon",love
"Baarish mein bheegna hai uske saath, chai peeni hai kisi tapri pe",love
"Ghar le jaana hai usse, milwana hai sabse, sapna hai ye",love
Jab wo hansti hai toh lagta hai sare gham bhool jaate hain,love
"Tera naa loon main, kya cheez hai, bas tere bina nahi jeena",love
Kya?! Usne mujhe propose kiya? seriously nahi expect kiya tha,surprise
"Achanak se saamne aa gaya wo, main vahan tha hi nahi expect karte hue",surprise
"Result aaya, main topper hoon, mujhe yakeen nahi ho raha",surprise
"Ghar pahucha toh sab ne surprise party di, birthday tha mera",surprise
"Lottery lagi 50000 ki, first time kuch jeeta hoon life mein",surprise
"Usne gift diya aur andar thi meri favourite watch, kaise pata chala usko",surprise
Offer mil gaya uss company se jahan apply bhi nahi kiya tha,surprise
Movie ka twist dekh ke uthke khada ho gaya theatre mein,surprise
"Friend achanak se mila London mein, koi idea nahi tha ki wahan hai",surprise
"Uska message ""main wapas aa raha hoon"", 3 saal baad, yakeen nahi hua",surprise
"Bill 100 ka tha, Maine 500 diye, usne 900 wapas kar diye, maine dekha toh 400 extra",surprise
"Dekha toh usne chocolate di thi, andar engagement ring thi, ruk gaya dum",surprise
"Interview ke time pata chala ki panel mein mere college ka senior hai, small world",surprise
"Flight mein neighbour nikla mera school friend, kya coincidence hai",surprise
"Papa ne bola ""main proud hoon beta"", pehli baar suna, aankhen bhar aayi",surprise
"Bhai kal trip pe ja rahe hain, manali, pak karo packing",enthusiasm
"Concert hai kal, AR Rahman, 2 saal se wait kar raha hoon",enthusiasm
"Naya phone kal launch ho raha hai, event dekhna hai live",enthusiasm
"Startup ke liye funding mil gayi, ab duniya badal denge",enthusiasm
"Kalkatta match hai India vs Pakistan, stadium mein jaa raha hoon",enthusiasm
"Movie ka trailer aaya, hype build ho rahi hai, can't wait",enthusiasm
"Weekend plan bana lo guys, kuch naya karte hain",enthusiasm
"Naya skill seekhna shuru kiya, coding, bohot interesting lagta hai",enthusiasm
"Birthday party mein kya surprise du soch raha hoon, maza ayega",enthusiasm
"Brother ki shaadi hai agle mahine, bohot saari tayariyan",enthusiasm
"Gym join kiya hai naya, ab body banayenge, motivation high hai",enthusiasm
"Naya project mila hai kaam pe, challenge accha hai, karke dikhayenge",enthusiasm
"Podcast shuru kar rahe hain dosto ke saath, kuch alag try karenge",enthusiasm
"Recipe try karna hai aaj, Italian cuisine, excitement high hai",enthusiasm
"Road trip ka plan, 5 states cover karenge, maza ayega",enthusiasm
"Bhai usne mere saath dhokha kiya, trust kiya tha uspe",anger
"Roz roz ki yehi backchodi, ab tolerance khatam ho gaya",anger
"Office mein credit maang liya usne apna bole bina, saala chor kahinka",anger
"Gaadi de di thi lekin waapas kharab kar di, 2 din mein engine kharab",anger
"Ticket kaat liya traffic wale ne, limit sirf 5km/h zyada thi",anger
"Baat karte karte beech mein cut kar diya usne, respect nahi hai kya",anger
"Aaj kal har koi aage badh raha hai, main wahi ka wahi hoon, apne aap se gussa aata hai",anger
"Zara si baat pe chillana shuru kar diya, kyun itna gussa hai usko",anger
"Bhai line mein lag ke 2 ghante wait kiya, phir usne kaha kal aao",anger
Usne mere baare mein aise bola jaante hue bhi ki main sun lunga,anger
"Saara kaam muje pe daal diya, holidays pe gaya apni family ke saath",anger
"Phone kiya 10 baar, uthaya nahi, baad mein message aaya ""busy tha""",anger
"Khaana order kiya, 1 ghanta ho gaya, abhi tak nahi aaya",anger
"Uska dimaag kharab hai kya, aise kaise kisi se baat kar sakte ho",anger
"Bachche roz roz aise karte hain, samajh nahi aata kya karun",anger
"Train late hai hamesha, roz late hote hain office, job jaane ki nau bat",anger
"Usne mere secrets sabko bata diye, bharosa tha uspe",anger
"Maal kharaab tha, shopkeeper ne paise nahi laute, behenchod",anger
"Usse samajh nahi aata kitni mehnat lagti hai, easy samajh raha hai sab kuch",anger
"Ghar pe sab ignore kar rahe hain, baat hi nahi karte, kya galti ki maine",anger
"Party mein bulaya nahi, dost bolte ho apne aapko",anger
"Statement credit hua nahi abhi tak, 3 din ho gaye, paisa doob gaya",anger
"Software update kiya sab kuch delete ho gaya, 2 saal ka data gaya",anger
"Uski aisi baatein, meri aisi baatein, kyun compare karta hai mujhe",anger
"Kuch bhi type karun, sahi nahi lag raha, gussa control mein nahi",anger
"Aaj subah se dil bohot bhaari hai, kuch accha nahi lag raha",sad
"Woh chali gayi mere life se, ab uski yaadein hi bachi hain",sad
"Papa ki tabiyat theek nahi hai, hospital mein admit hain, ghar soona lag raha hai",sad
"College ke saare dost alag ho gaye, ab koi baat karne wala nahi",sad
"Aaj pitch drop hui, 6 mahine ki mehnat waste ho gayi",sad
"Usko dekh liya kisi aur ke saath, dil toot gaya yaar",sad
"Bachpan ka ghar bech diya, ab wahan naye log rehte hain",sad
"Exam ka result aaya, fail ho gaya, ghar pe kaise face karunga",sad
"Bohot koshish ki par phir bhi nahi ho paya, haar maan liya hai maine",sad
"Aaj uski death anniversary hai, bohot yaad aata hai wo",sad
"Job nahi mil rahi, 100 interviews de diye, kyunki reject ho raha hoon",sad
"Baat karne ka mann hai par koi hai nahi, lonely feel ho raha hai",sad
"Pata nahi kyun aaj bohot udaas hoon, kuch accha nahi lag raha",sad
"Ghar jaane ka mann hai par paise nahi, Diwali akela hi katni hai",sad
"Bachpan mein jo the wo log ab nahi rahe, time bohot badal gaya",sad
"Aaj khud ko aaina dekhke accha nahi laga, pata nahi kyun",sad
"Uski photo mil gayi gallery mein, bohot din baad dekha, rona aa gaya",sad
"Dost ka phone call aaya tha, baat karke accha laga par jaane ka dard hua",sad
"Zindagi mein kuch bhi accha nahi ho raha, bas waqt beeta ja raha hai",sad
"Aaj apne aapse hi nafrat si ho rahi hai, kyun hoon main",sad
"Rainy day hai, ghar pe akela hoon, kuch karne ka mann nahi",sad
"Breakup ke baad se kuch accha nahi lagta, sab kuch hollow sa lagta hai",sad
"Pichle hafte puppy mar gaya, ro ro ke aankhein sukh gayi",sad
"Uski yaad aati hai toh chain nahi milta, raat bhar neend nahi aati",sad
Sab kuch theek lag raha tha par pata nahi achanak se sab kharab ho gaya,sad
